sensor_id: 1, tipo: humo, valor: True, timestamp: 1716331751.601009
sensor_id: 2, tipo: humo, valor: True, timestamp: 1716331751.614769
sensor_id: 3, tipo: humo, valor: True, timestamp: 1716331751.6177843
sensor_id: 5, tipo: humo, valor: False, timestamp: 1716331751.676575
sensor_id: 4, tipo: humo, valor: True, timestamp: 1716331751.6777527
sensor_id: 6, tipo: humo, valor: False, timestamp: 1716331751.717851
sensor_id: 7, tipo: humo, valor: False, timestamp: 1716331751.7288527
sensor_id: 8, tipo: humo, valor: True, timestamp: 1716331751.766376
sensor_id: 9, tipo: humo, valor: True, timestamp: 1716331751.800164
sensor_id: 10, tipo: humo, valor: False, timestamp: 1716331751.8042724
sensor_id: 1, tipo: humo, valor: False, timestamp: 1716331754.6156275
sensor_id: 2, tipo: humo, valor: True, timestamp: 1716331754.6192043
sensor_id: 3, tipo: humo, valor: True, timestamp: 1716331754.6252534
sensor_id: 5, tipo: humo, valor: True, timestamp: 1716331754.6797392
sensor_id: 4, tipo: humo, valor: True, timestamp: 1716331754.7573755
sensor_id: 6, tipo: humo, valor: False, timestamp: 1716331754.758378
sensor_id: 7, tipo: humo, valor: True, timestamp: 1716331754.7682114
sensor_id: 8, tipo: humo, valor: False, timestamp: 1716331754.8054225
sensor_id: 10, tipo: humo, valor: False, timestamp: 1716331754.8064117
sensor_id: 9, tipo: humo, valor: True, timestamp: 1716331754.8074112
sensor_id: 1, tipo: humo, valor: True, timestamp: 1716331757.6170282
sensor_id: 2, tipo: humo, valor: False, timestamp: 1716331757.6201074
sensor_id: 3, tipo: humo, valor: True, timestamp: 1716331757.6266668
sensor_id: 5, tipo: humo, valor: True, timestamp: 1716331757.6815841
sensor_id: 4, tipo: humo, valor: True, timestamp: 1716331757.7611778
sensor_id: 6, tipo: humo, valor: False, timestamp: 1716331757.7620597
sensor_id: 7, tipo: humo, valor: False, timestamp: 1716331757.7713618
sensor_id: 8, tipo: humo, valor: False, timestamp: 1716331757.8064694
sensor_id: 10, tipo: humo, valor: False, timestamp: 1716331757.8072085
sensor_id: 9, tipo: humo, valor: False, timestamp: 1716331757.8082101
sensor_id: 1, tipo: humo, valor: False, timestamp: 1716331760.6185915
sensor_id: 2, tipo: humo, valor: False, timestamp: 1716331760.6211817
sensor_id: 3, tipo: humo, valor: False, timestamp: 1716331760.6288102
sensor_id: 5, tipo: humo, valor: True, timestamp: 1716331760.6901412
sensor_id: 4, tipo: humo, valor: False, timestamp: 1716331760.7647667
sensor_id: 6, tipo: humo, valor: False, timestamp: 1716331760.7657044
sensor_id: 7, tipo: humo, valor: False, timestamp: 1716331760.7728627
sensor_id: 8, tipo: humo, valor: True, timestamp: 1716331760.8078809
sensor_id: 10, tipo: humo, valor: False, timestamp: 1716331760.8078809
sensor_id: 9, tipo: humo, valor: False, timestamp: 1716331760.809308
sensor_id: 1, tipo: humo, valor: False, timestamp: 1716331763.620111
sensor_id: 2, tipo: humo, valor: False, timestamp: 1716331763.6221833
sensor_id: 3, tipo: humo, valor: True, timestamp: 1716331763.6308544
sensor_id: 5, tipo: humo, valor: False, timestamp: 1716331763.6915748
sensor_id: 6, tipo: humo, valor: True, timestamp: 1716331763.7663357
sensor_id: 4, tipo: humo, valor: False, timestamp: 1716331763.766686
sensor_id: 7, tipo: humo, valor: False, timestamp: 1716331763.774834
sensor_id: 8, tipo: humo, valor: True, timestamp: 1716331763.8091645
sensor_id: 10, tipo: humo, valor: False, timestamp: 1716331763.8101661
sensor_id: 9, tipo: humo, valor: True, timestamp: 1716331763.8101661
sensor_id: 1, tipo: humo, valor: True, timestamp: 1716331766.621556
sensor_id: 2, tipo: humo, valor: True, timestamp: 1716331766.6231284
sensor_id: 3, tipo: humo, valor: False, timestamp: 1716331766.6324956
sensor_id: 5, tipo: humo, valor: False, timestamp: 1716331766.6931295
sensor_id: 4, tipo: humo, valor: False, timestamp: 1716331766.7681258
sensor_id: 6, tipo: humo, valor: False, timestamp: 1716331766.7690408
sensor_id: 7, tipo: humo, valor: False, timestamp: 1716331766.7761352
sensor_id: 8, tipo: humo, valor: False, timestamp: 1716331766.8107183
sensor_id: 9, tipo: humo, valor: False, timestamp: 1716331766.8117733
sensor_id: 10, tipo: humo, valor: False, timestamp: 1716331766.8117733
sensor_id: 1, tipo: humo, valor: False, timestamp: 1716331769.6227062
sensor_id: 2, tipo: humo, valor: False, timestamp: 1716331769.623775
sensor_id: 3, tipo: humo, valor: True, timestamp: 1716331769.6337194
sensor_id: 5, tipo: humo, valor: False, timestamp: 1716331769.6947598
sensor_id: 4, tipo: humo, valor: False, timestamp: 1716331769.7701097
sensor_id: 6, tipo: humo, valor: True, timestamp: 1716331769.771143
sensor_id: 7, tipo: humo, valor: False, timestamp: 1716331769.777175
sensor_id: 8, tipo: humo, valor: True, timestamp: 1716331769.8122606
sensor_id: 10, tipo: humo, valor: False, timestamp: 1716331769.8130672
sensor_id: 9, tipo: humo, valor: False, timestamp: 1716331769.813609
sensor_id: 1, tipo: humo, valor: False, timestamp: 1716331772.6242537
sensor_id: 2, tipo: humo, valor: True, timestamp: 1716331772.6252275
sensor_id: 3, tipo: humo, valor: True, timestamp: 1716331772.6352375
sensor_id: 5, tipo: humo, valor: True, timestamp: 1716331772.6971278
sensor_id: 4, tipo: humo, valor: True, timestamp: 1716331772.7712767
sensor_id: 6, tipo: humo, valor: True, timestamp: 1716331772.7722785
sensor_id: 7, tipo: humo, valor: True, timestamp: 1716331772.778308
sensor_id: 8, tipo: humo, valor: True, timestamp: 1716331772.8136559
sensor_id: 9, tipo: humo, valor: False, timestamp: 1716331772.8145604
sensor_id: 10, tipo: humo, valor: True, timestamp: 1716331772.8145604
sensor_id: 1, tipo: humo, valor: False, timestamp: 1716331775.6259387
sensor_id: 2, tipo: humo, valor: False, timestamp: 1716331775.6266563
sensor_id: 3, tipo: humo, valor: False, timestamp: 1716331775.6362767
